Christ   n.[基督教]救世主(特指耶稣基督)
Christian   n.基督徒,信徒;adj.基督教的,信基督教的
cigar   n.雪茄
cigarette   n.香烟,纸烟
circuit   n.电路,一圈,周游,巡回
circular   adj.圆形的,循环的;n.函件,通知
circulate   v.(使)流通,(使)运行,(使)循环,(使)传播
circumstance   n.环境,详情,境况
cite   vt.引用,引证,提名表扬
civil   adj.全民的,市民的,公民的,国民的,民间的.民事的,根据民法的,文职的,有礼貌的
civilian   n.平民,公务员,文官;adj.民间的,民用的
civilization   n.文明,文化,文明社会,文明,一个著名游戏的名称
civilize   vt.使开化,使文明,教化
claim   n.(根据权利提出)要求,要求权,主张,要求而得到的东西;vt.(根据权利)要求,认领,声称,主张,需要
clap   n.拍手声,霹雳声;v.鼓掌,轻拍
clarify   v.澄清,阐明
clash   n.冲突,撞击声,抵触;v.(使)发出撞击声,猛撞,冲突
classic   n.杰作,名著;adj.第一流的
classical   adj.古典的,正统派的,古典文学的
classification   n.分类,分级
classify   vt.分类,分等
clause   n.子句,条款
claw   n.爪,脚爪;v.抓
clay   n.粘土,泥土,肉体,人体,似黏土的东西,陶土制的烟斗
clerk   n.职员,办事员,<美>店员
click   v.发出滴答声;n.滴答声
client   n.[计]顾客,客户,委托人
cliff   n.悬崖,绝壁
climate   n.气候,风土,思潮
cling   vi.粘紧,附着,紧贴,坚持(意见),墨守(习惯)
clue   n.线索
clumsy   adj.笨拙的
coach   n.四轮大马车,长途汽车,教练;v.训练,指导
coarse   adj.粗糙的,粗鄙的；coursen.过程,经过,进程,路线,跑道,课程v.追猎,急行,运行,流动
cognitive   adj.认知的,认识的,有感知的
coil   v.盘绕,卷
collapse   n.倒塌,崩溃,失败,虚脱;vi.倒塌,崩溃,瓦解,失败,病倒
colleague   n.同事,同僚
collection   n.收藏,征收,搜集品,捐款
collective   adj.集体的;n.集体
collision   n.碰撞,冲突
colony   n.殖民地,侨民,(聚居的)一群同业,一批同行,(生物)群体
column   n.圆柱,柱壮物,专栏,纵队
comb   n.梳子,梳,鸡冠,蜂巢;vi.梳(发),搜索
combat   n.战斗,格斗;v.战斗,搏斗,抗击
combination   n.结合,联合,合并,化合,化合物
combine   v.(使)联合,(使)结合;n.联合企业,联合收割机;n.联合收割机
comedy   n.喜剧,喜剧性的事情
command   n.命令,掌握,司令部;v.命令,指挥,克制,支配,博得,俯临
commander   n.司令官,指挥官
comment   n.注释,评论,意见;vi.注释,评论
commerce   n.商业
commercial   adj.商业的,贸易的
commission   n.委任,委托,代办(权),代理(权),犯(罪),佣金;vt.委任,任命,委托,委托制作,使服役
commit   vt.犯(错误),干(坏事),把...交托给,提交,答应负责
commitment   n.委托事项,许诺,承担义务
committee   n.委员会
commonplace   n.平凡的事,平常话;adj.平凡的
communicate   v.沟通,通信,(房间、道路、花园等)相通,传达,感染
communication   n.传达,信息,交通,通讯
community   n.公社,团体,社会,(政治)共同体,共有,一致,共同体,(生物)群落
companion   n.同伴,共事者
comparable   adj.可比较的,比得上的
comparative   adj.比较的,相当的
compare   v.比较,相比,比喻n.比较
comparison   n.比较,对照,比喻,比较关系
compass   n.罗盘,指南针,圆规;v.包围
compel   vt.强迫,迫使
compensate   v.偿还,补偿,付报酬
compete   vi.比赛,竞争
competent   adj.有能力的,胜任的
competition   n.竞争,竞赛
competitive   adj.竞争的
complain   v.抱怨,悲叹,控诉
complaint   n.诉苦,抱怨,牢骚,委屈,疾病
complex   adj.复杂的,合成的,综合的;n.联合体
complicated   adj.复杂的,难解的
component   n.成分;adj.组成的,构成的
compose   v.组成,写作,排字,(使)安定,调解
compound   n.混合物,[化]化合物;adj.复合的;v.混合,配合
comprehension   n.理解,包含
comprehensive   adj.全面的,广泛的,能充分理解的,包容的
compress   vt.压缩,摘要叙述;n.(外科)敷布
comprise   v.包含,由...组成
compromise   n.妥协,折衷;v.妥协,折衷,危及...的安全
conceal   vt.隐藏,隐蔽,隐瞒;v.隐蔽
concede   vt.勉强,承认,退让;vi.让步
concentrate   v.集中,浓缩
concentration   n.集中,集合,专心,浓缩,浓度
concept   n.观念,概念
concern   vt.涉及,关系到;n.(利害)关系,关心,关注,关注,所关心的是
concerning   prep.关于
concession   n.让步
concise   adj.简明的,简练的
conclude   v.结束,终止,决定,作出结论;vt.推断,断定,缔结,议定
conclusion   n.结束,缔结,结论
concrete   adj.具体的,有形的;n.混凝土;v.用混凝土修筑,浇混凝土,凝结
condemn   vt.判刑,处刑,声讨,谴责
condense   v.(使)浓缩,精简
condition   n.条件,情形,环境,社会地位;vt.以...为条件,使达到要求的情况
