conduct   n.行为,操行;v.引导,管理,为人,传导
conductor   n.领导者,经理,指挥管弦乐队、合唱队的,(市内有轨电车或公共汽车)售票员,<美>列车长
conference   n.会议,讨论会,协商会
confess   v.承认,坦白,忏悔
confidence   n.信心
confident   adj.自信的,确信的
confine   vt.限制,禁闭;n.界限,边界
confirm   vt.确定,批准,使巩固,使有效;v.确认,(基督教中)给...行按手礼
conflict   n.斗争,冲突;vi.抵触,冲突
conform   vt.使一致,使遵守,使顺从;vi.符合,相似,适应环境;adj.一致的,顺从的
confront   vt.使面临,对抗
confuse   vt.搞乱,使糊涂
confusion   n.混乱,混淆
congratulate   vt.祝贺,庆贺,恭喜
congratulation   n.祝词,贺辞
congress   n.(代表)大会,[C～](美国等国的)国会,议会
conjunction   n.联合,关联,连接词
connect   v.连接,联合,关连
connection   n.连接,关系,接线,线路,亲戚
connexion   n.联系,连结
conquer   vt.征服,战胜,占领,克服(困难等),破(坏习惯等)
conquest   n.征服;n.战利品
conscience   n.良心,道德心
conscious   adj.有意识的,有知觉的,故意的,羞怯的
consent   vi.同意,赞成,答应;n.同意,赞成,允诺
consequence   n.结果,[逻]推理,推论,因果关系,重要的地位
consequent   adj.作为结果的,随之发生的
consequently   adv.从而,因此
conservation   n.保存,保持,守恒
conservative   adj.保守的,守旧的;n.保守派
considerable   adj.相当大(或多)的,值得考虑的,相当可观的
considerate   adj.考虑周到的
consideration   n.体谅,考虑,需要考虑的事项,报酬
consist   vi.由...组成,在于,一致
consistent   adj.一致的,调和的,坚固的,[数、统]相容的
console   vt.安慰,藉慰;n.[计]控制台
constant   n.[数、物]常数,恒量;adj.不变的,持续的,坚决的
constitute   vt.制定(法律),建立(政府),组成,任命
constitution   n.宪法,构造,体质,体格,国体,章程,惯例
construct   vt.建造,构造,创立
construction   n.建筑,建筑物,解释,造句
consult   v.商量,商议,请教,参考,考虑
consultant   n.顾问,商议者,咨询者
consume   vt.消耗,消费,消灭,大吃大喝,吸引;vi.消灭,毁灭
consumer   n.消费者
consumption   n.消费,消费量,肺病
contact   n.接触,联系;vt.接触,联系
container   n.容器(箱,盆,罐,壶,桶,坛子),集装箱
contemporary   n.同时代的人;adj.当代的,同时代的
contest   n.论争,竞赛:v.,争论,争辩,竞赛,争夺
continual   adj.连续的,频繁的,持续不断的
continuity   n.连续性,连贯性
continuous   adj.连续的,持续的
contract   n.合同,契约,婚约;v.使缩短,感染,订约
contradiction   n.反驳,矛盾
contrary   adj.相反的,逆的,<口语>执拗;n.反面;adv.相反地
contrast   vt.使与...对比,使与...对照;vi.和...形成对照;n.对比,对照,(对照中的)差异
contribute   v.捐助,捐献,贡献,投稿
contribution   n.捐献,贡献,投稿
controversial   adj.争论的,争议的
controversy   n.论争,辩论,论战
convenience   n.便利,方便,有益,有用的,方便的用具、机械、安排等
convention   n.大会,协定,习俗,惯例
conventional   adj.惯例的,常规的,习俗的,传统的
conversely   adv.倒地,逆地
convert   n.皈依者;vt.使转变,转换...,使...改变信仰
convey   vt.搬运,传达,转让
convict   vt.证明...有罪,宣告...有罪;n.罪犯
conviction   n.深信,确信,定罪,宣告有罪
convince   vt.使确信,使信服
cooperate   vi.合作,协作
cooperative   adj.合作的,协力的
coordinate   n.同等者,同等物,坐标(用复数);adj.同等的,并列的;vt.调整,整理
cop   n.警官,巡警,[纺]管纱;vt.抓住
cope   vi.(善于)应付,(善于)处理
copper   n.铜,警察
copyright   n.版权,著作权
cord   n.绳索,束缚
core   n.果核,中心,核心
corporate   adj.社团的,法人的,共同的,全体的
corporation   n.[律]社团,法人,公司,企业,<美>有限公司,(市,镇的)自治机关,<口>大肚皮
correspond   vi.符合,协调,通信,相当,相应
correspondence   n.相应,通信,信件
correspondent   n.通讯记者,通信者
corresponding   adj.相应的,通讯的
corridor   n.走廊
costly   adj.昂贵的,贵重的
costume   n.装束,服装
council   n.政务会,理事会,委员会,参议会,讨论会议,顾问班子,立法班子
counsel   n.讨论,商议,辩护律师;vt.劝告,忠告
counter   n.计算器,计数器,计算者,柜台,筹码;adv.&prep.相反地
county   n.县,郡
court   n.法院,庭院,宫庭,球场,奉承,求爱,殷勤;vt.向...献殷勤,设法获得(他人支持),博得(喝彩),招致(失败,危险等);vi.求爱
courtesy   n.谦恭,允许,礼貌
courtyard   n.庭院,院子
coverage   n.覆盖
crack   n.裂缝,噼啪声;v.(使)破裂,裂纹,(使)爆裂;adj.最好的,高明的
craft   n.工艺,手艺
crane   n.起重机
crash   n.碰撞,坠落,坠毁,撞击声,爆裂声;v.碰撞,坠落,坠毁,(指商业公司,政府等)破产,垮台
