desperate   adj.不顾一切的,拚死的,令人绝望的
despite   prep.不管,尽管,不论
dessert   n.餐后甜点
destination   n.目的地,[计]目的文件,目的单元格
destruction   n.破坏,毁灭
destructive   adj.破坏(性)的
detail   n.细节,详情;vt.详述,细说
detect   vt.察觉,发觉,侦查,探测;v.发现
detection   n.察觉,发觉,侦查,探测,发现
detective   n.侦探;adj.侦探的
determination   n.决心,果断
determine   v.决定,确定,测定,使下定决心,[律]使终止
device   n.装置,设计,图案,策略,发明物,设备;[计]安装设备驱动程序
devil   n.魔鬼,恶棍
devise   vt.设计,发明,图谋,作出(计划),想出(办法),遗赠给;n.遗赠
devote   vt.投入于,献身
diagram   n.图表
dialect   n.方言,语调
diameter   n.直径
dictate   v.口述,口授,使听写,指令,指示,命令,规定;n.指示(指理智,变心)
dictation   n.听写,口述
differ   vi.不一致,不同
digest   n.分类,摘要;vi.消化;vt.消化,融会贯通
digital   adj.数字的,数位的,手指的;n.数字,数字式
diligent   adj.勤勉的,用功的,细心而继续不断的
dim   adj.暗淡的,模糊的,无光泽的,悲观的,怀疑的;vt.使暗淡,使失去光泽;n.<美俚>笨蛋、傻子
dimension   n.尺寸,尺度,维(数),度(数),元
dip   v.浸,蘸,沾
diplomatic   adj.外交的,老练的
directly   adv.直接地,立即
dirt   n.污垢,泥土
disappear   vi.消失,不见
disaster   n.灾难,天灾,灾祸
disastrous   adj.损失惨重的,悲伤的
discard   vt.丢弃,抛弃;v.放弃
discharge   vt.卸下,放出,清偿(债务),履行(义务),解雇,开(炮),射(箭);vi.卸货,流注;n.卸货,流出,放电
discipline   n.纪律,学科;v.训练
discount   n.折扣
discourage   vt.使气馁,阻碍
disease   n.疾病,弊病
disguise   v.假装,伪装,掩饰;n.伪装
disgust   n.厌恶,嫌恶;vi.令人厌恶,令人反感;vt.使作呕
dismiss   vt.解散,下课,开除,解职,使(或让)离开;vi.解散
disorder   n.杂乱,混乱,无秩序状态;vt.扰乱,使失调,使紊乱
display   vt.陈列,展览,显示;n.陈列,展览,显示,显示,显示器
disposal   n.处理,处置,布置,安排,配置,支配
dispose   v.处理,处置,部署;vt.布置,安排,除去,使愿意
dispute   v.争论,辩论,怀疑,抗拒,阻止,争夺(土地,胜利等);n.争论,辩论,争吵
dissolve   v.溶解,解散
distinct   adj.清楚的,明显的,截然不同的,独特的
distinction   n.区别,差别,级别,特性,声望,显赫
distinguish   v.区别,辨别
distress   n.悲痛,穷困,不幸,危难,忧伤;v.使悲痛,使穷困,使忧伤
distribute   vt.分发,分配,散布,分布,分类,分区;v.分发
distribution   n.分配,分发,配给物,销售,法院对无遗嘱死亡者财产的分配,分布状态,区分,分类,发送,发行
disturb   vt.弄乱,打乱,打扰,扰乱;v.扰乱
ditch   n.沟,沟渠,壕沟
dive   vi.潜水,跳水,下潜,俯冲;n.潜水,跳水,下潜,俯冲
diverse   adj.不同的,变化多的
divide   v.分,划分,分开,隔开
divine   adj.神的,神圣的,非凡的,超人的,非常可爱的;n.牧师
division   n.分开,分割,区分,除法,公司,(军事)师,分配,分界线
divorce   n.离婚,脱离;vt.使离婚,与...脱离
dock   n.<美>码头,船坞,被告席,尾巴的骨肉部分;vt.靠码头,引入坞,剪短;vi.入船坞
document   n.公文,文件,文档,档案,文献;v.证明
domestic   adj.家庭的,国内的,与人共处的,驯服的
dominant   adj.有统治权的,占优势的,支配的;adj.[生物]显性的
dominate   v.支配,占优势
donation   n.捐赠品,捐款,贡献
donkey   n.驴子,笨蛋,顽固者,(=donkeyengine)轻便发动机,(=donkeypump)辅助泵
dorm   n.<俗>宿舍(=dormitory)
dormitory   n.宿舍
dose   n.剂量,(一)剂,(一)服;v.(给...)服药
dot   n.点,圆点,园点;vt.在...上打点
doubtful   adj.可疑的,不确的,疑心的
downward   adj.向下的
draft   n.草稿,草案,草图;vt.起草,为...打样,设计;v.草拟
drag   v.拖,拖曳,缓慢而费力地行动;n.拖拉
dragon   n.龙,凶暴的人,严厉而有警觉性的女人
drain   n.排水沟,消耗,排水;vt.排出沟外,喝干,耗尽;vi.排水,流干
drama   n.(在舞台上演的)戏剧,戏剧艺术
dramatic   adj.戏剧性的,生动的
draught   n.拖,拉,一网(鱼),气流
drawer   n.抽屉,画家,制图员,(用复数)衬裤、内裤
drift   n.冲洗,漂流物,观望,漂流;v.(使)漂流
drill   n.钻孔机,钻子,播种机,军事训练,操练,(反复)练习,条播机;v.训练,钻孔,条播
drip   n.水滴;v.(使)滴下
drum   n.鼓,鼓声,鼓形圆桶,[解]鼓膜,鼓室;vi.击鼓,作鼓声;vt.打鼓奏
drunk   adj.喝醉了的;vbl.drink的过去分词
dull   adj.感觉或理解迟钝的,无趣的,呆滞的,阴暗的;vt.使迟钝,使阴暗,缓和;vi.变迟钝,减少
dumb   adj.哑的,无说话能力的,不说话的,无声音的
dump   vt.倾倒(垃圾),倾卸;n.堆存处
durable   adj.持久的,耐用的
duration   n.持续时间,为期
dusk   n.薄暮,黄昏
dye   n.染料,染色;vt.染;v.染
dynamic   adj.动力的,动力学的,动态的
eagle   n.鹰,鹰状标饰
earnest   adj.认真的,热心的,重要的n.真挚,定金,认真,热心
earthquake   n.地震,[喻]在震荡,在变动
