exact   adj.精确的,准确的,原样的,精密的,严格;vt.强求,急需,要求
exaggerate   v.夸大,夸张
exceed   vt.超越,胜过;vi.超过其他
exceedingly   adv.非常地,极度地
exception   n.除外,例外,反对,异议
excess   n.过度,剩于,无节制,超过,超额;adj.过度的,额外的
excessive   adj.过多的,过分的,额外
exchange   vt.交换,调换,兑换,交流,交易;n.交换,调换,兑换,交流,交易
excitement   n.刺激,兴奋,激动,搔动
exclaim   v.呼喊,惊叫,大声叫
exclude   vt.拒绝接纳,把...排除在外,排斥
exclusive   adj.排外的,孤高的,唯我独尊的,独占的,唯一的,高级的
excursion   n.远足,游览,短程旅行,远足队,离题,[物]偏移,漂移
execute   vt.执行,实行,完成,处死,制成,[律]经签名盖章等手续使(证书)生效
executive   adj.实行的,执行的,行政的;n.执行者,经理主管人员
exert   vt.尽(力),施加(压力等),努力;v.发挥,竭尽全力,尽
exhaust   vt.用尽,耗尽,抽完,使筋疲力尽;vi.排气;n.排气,排气装置;adj.用不完的,不会枯竭的
exhibit   vt.展出,陈列;n.展览品,陈列品,展品;v.展示
existence   n.存在,实在,生活,存在物,实在物
expand   vt.使膨胀,详述,扩张;vi.张开,发展
expansion   n.扩充,开展,膨胀,扩张物,辽阔,浩瀚
expectation   n.期待,预料,指望,展望,[数]期望(值)
expedition   n.远征,探险队,迅速,派遣
expense   n.费用,代价,损失,开支,费钱之物
experimental   adj.实验的,根据实验的
expert   n.专家,行家,[军](特等)射手;adj.老练的,内行的,专门的;vt.在...中当行家,当专家
explode   vt.使爆炸;vi.爆炸,爆发,破除,推翻,激发
exploit   vt.开拓,开发,开采,剥削,用以自肥;v.使用
explore   v.探险,探测,探究
explosion   n.爆发,发出,爆炸,[矿]煤气爆炸
explosive   adj.爆炸(性)的,爆发(性)的,暴露;n.爆炸物,炸药
export   vt.输出;n.出口货,输出,出口,出口商品;v.出口
expose   vt.使暴露,受到,使曝光;v.揭露
exposure   n.暴露,揭露,暴光,揭发,揭露,位向,方向,陈列
expression   n.表达,表情,脸色,声调,腔调,榨出,语法,措辞;n.[数]式,表达式,符号
extend   v.扩充,延伸,伸展,扩大[军]使疏开,给予,提供,演化出的全文,<英>[律]对(地产等)估价
extension   n.延长,扩充,范围;n.扩展名;adj.[逻]外延的,客观现实的
extensive   adj.广大的,广阔的,广泛的
extent   n.广度,宽度,长度,范围,程度,区域,[律]<英>扣押,<美>临时所有权令
exterior   adj.外部的,外在的,表面的,外交的,[建](适合)外用的;n.外部,表面,外型
external   adj.外部的,客观的,[医]外用的,外国的,表面的;n.外部,外面
extra   adj.额外的,不包括在价目内的,特大的,特佳的;adv.特别地,非常,另外;n.额外人(或物),(报纸)号外,上等品,(电影)临时演员
extraordinary   adj.非常的,特别的,非凡的,特派的
extreme   adj.尽头的,极端的,极度的,偏激的,最后的;n.极端,极端的事物
eyesight   n.视力,目力
fabric   n.织品,织物,布,结构,建筑物,构造
facility   n.容易,简易,灵巧,熟练,便利,敏捷,设备,工具
factor   n.因素,要素,因数,代理人
faculty   n.才能,本领,能力,全体教员,(大学的)系,科,(授予的)权力
fade   vi.(声音等)减弱下去,褪色,消失,枯萎,凋谢;vt.使褪色;n.淡入,淡出;adj.乏味的,平淡的
failure   n.失败,失败者,缺乏,失灵,故障,破产,疏忽,<美>不及格
faint   n.昏晕,昏倒;adj.虚落地,衰弱的,软弱的,无力的,微弱的,暗淡的,模糊的;vi.昏晕,昏倒,变得微弱,变得没气力
fairly   adv.公正地,正当的,公平对待某人,公平地,相当地,还算,清楚地
fairy   n.仙女,精灵,<美俚>漂亮姑娘;adj.仙女的
faith   n.信任,信念,宗教信仰,忠实,保证,诺言,约定
faithful   adj.守信的,忠实的,详确的,可靠的;n.信徒
fake   n.假货,欺骗;adj.假的;vt.伪造,赝造,捏造,假造,仿造;vi.伪装
fame   n.名声,名望,传说,<古>传闻;vt.(常用被动语态)使闻名,使有名望,盛传
famine   n.饥荒,<古>饥饿,严重的缺乏
fancy   adj.奇特的,异样的;vt.想象,设想,认为,爱好,自负;n.爱好,迷恋,想象力
fantastic   adj.幻想的,奇异的,稀奇古怪的,荒谬的,空想的
fantasy   n.幻想,白日梦
fare   n.费用,旅客,食物;vi.遭遇,进展,进步,经营,过活
farewell   n.辞别,再见,再会;int.再会,别了!(常含有永别或不容易再见面的意思)
fascinating   adj.迷人的,醉人的,着魔的
fashion   n.样子,方式,流行,风尚,时样;vt.形成,造,作,把...塑造成,使适应,使适合,改革,改变
fashionable   adj.流行的,时髦的
fasten   vt.扎牢,扣住,闩住,拴紧,使固定,系,集中于,强加于;vi.扣紧,抓住
fatal   adj.致命的,重大的,命运注定的,不幸的,致命的,毁灭性的
fate   n.天数,命运,运气;vt.注定,送命
fatigue   n.疲乏,疲劳,累活,[军]杂役;vt.使疲劳,使心智衰弱;vi.疲劳
faulty   adj.有过失的,有缺点的,不完美的,不完善的
favour   n.亲切,宠爱
favourable   adj.赞成的,称许的,有利的,顺利的;n.有利
favourite   adj.特别喜爱的,中意的;n.特别喜爱的(或物)
fearful   adj.可怕的,吓人的,恐怕的,严重的
feasible   adj.可行的,切实可行的
feather   n.翎毛,轻的东西,羽毛;vi.长羽毛;vt.用羽毛装饰,射掉(飞禽)的羽毛
feature   n.面貌的一部分(眼,口,鼻等)特征,容貌,特色,特写;vt.是...的特色,特写,放映;vi.起重要作用
federal   adj.联邦的,联合的,联邦制的,同盟的;n.(南北战争)北部联邦同盟盟员,连邦软件公司,国内正版软件商
fee   n.费(会费、学费等),酬金
feedback   n.[无]回授,反馈,反应
female   n.女性,女人,雌兽;adj.女性的,女子的,妇女的,雌的,柔弱的,(声,色)柔和的
fertile   adj.肥沃的,富饶的,能繁殖的
fertilizer   n.肥料(尤指化学肥料),[动]受精媒介物
festival   n.节日,喜庆日,音乐节,戏剧节,喜庆,欢宴,欢乐;adj.节日的,快乐的
fibre   n.纤维,构造,纤维制品,[植]须根
fiction   n.虚构,编造,小说
fierce   adj.凶猛的,猛烈的,热烈的,暴躁的<美>极讨厌的,难受的,<英方>精力旺盛的
figure   n.外形,轮廓,体形,图形,画像,数字,形状,身份;vt.描绘,塑造,表示,象征,演算,认为;vi.出现,考虑,出名,扮演角色
filter   n.滤波器,过滤器,滤光器,筛选;vt.过滤,渗透,用过滤法除去;vi.滤过,渗入,(消息等)走漏,慢慢传开
finally   adv.最后,终于,不可更改地,决定性地
finance   n.财政,金融,财政学;vt.供给...经费,负担经费;vi.筹措资金
