household   n.一家人,家庭,家族,王室;adj.家庭的,家族的,家属的,普通的,平常的
housing   n.供给住宅,住宅群,机架,住房供给
hum   v.嗡嗡叫,哼;n.嗡嗡声,吵杂声
humanity   n.人性,人类,博爱,仁慈
humble   adj.卑下的,微贱的,谦逊的,粗陋的;vt.使...卑下,挫,贬抑
humorous   adj.富幽默感的,滑稽的,诙谐的,想入非非的,异想天开的
humour   n.幽默,诙谐
hunt   v.打猎,猎取,搜索,搜寻,猎获;n.打猎,猎取,搜索,搜寻,狩猎
hurricane   n.飓风,狂风
hut   n.小屋,棚屋
hydrogen   n.氢
ideal   n.理想;adj.理想的,完美的,想象的,观念的,唯心论的
identical   adj.同一的,同样的
identification   n.辨认,鉴定,证明,视为同一
identify   vt.识别,鉴别,把...和...看成一样;v.确定
identity   n.同一性,身份,一致,特性,恒等式
idle   adj.空闲的,懒惰的,停顿的,无用的;vi.不做事,游手好闲,(机器)空转,虚度,不作事,游手好闲,浪费;vt.虚度,使空闲,使空转
ignorance   n.无知,不知
ignorant   adj.无知的
ignore   vt.不理睬,忽视,[律](因证据不足而)驳回诉讼
illegal   adj.违法的,不合规定的
illusion   n.幻想
illustrate   vt.举例说明,图解,加插图于,阐明;vi.举例
illustration   n.说明,例证,例子,图表,插图,图解
image   n.图象,肖像,偶像,形象化的比喻,极为相象,映像,典型;vt.想象,作...的像,反映,象征
imaginary   adj.假想的,想象的,虚构的
imagination   n.想象,空想,想象的事物,想象力,听觉
imaginative   adj.想象的,虚构的
imitate   vt.模仿,仿效,仿制,仿造;v.模仿
imitation   n.模仿,效法,冒充,赝品,仿造物
immediately   adv.立即,马上,直接地
immense   adj.极广大的,无边的,<口>非常好的
immigrant   adj.(从外国)移来的,移民的,移居的;n.移民,侨民
impact   n.碰撞,冲击,冲突,影响,效果;vt.挤入,撞击,压紧,对...发生影响
impatient   adj.不耐烦的,急躁的,不耐心的
imperative   n.命令,诫命,需要,规则,祈使语气;adj.命令的,强制的,紧急的,必要的,势在必行的,[语法]祈使的
implement   n.工具,器具;vt.贯彻,实现;v.执行
implication   n.牵连,含意,暗示
imply   vt.暗示,意味
import   n.进口货(常用复数),进口,输入,意思,重要性;vt.输入,进口,含...的意思,重要,引入;vi.有关系,有重要性
impose   vt.征税,强加,以...欺骗;vi.利用,欺骗,施影响
impress   vt.印,盖印,留下印象
impression   n.印象,感想,盖印,压痕
impressive   adj.给人深刻印象的,感人的
improve   v.改善,改进
improvement   n.改进,进步
incident   n.事件,事变;adj.附带的,易于发生的
incline   n.倾斜,斜坡,斜面;vt.使倾向于,使倾斜;vi.倾向,倾斜
include   vt.包括,包含
increasingly   adv.日益,愈加
incredible   adj.<口>难以置信的
independence   n.独立,自主
independent   n.中立派,无党派者;adj.独立自主的,不受约束的
index   n.索引,[数学]指数,指标,(刻度盘上)指针;vt.编入索引中,指出;vi.做索引
indicate   vt.指出,显示,象征,预示,需要,简要地说明
indication   n.指出,指示,迹象,暗示
indicative   adj.(～of)指示的,预示的,可表示的
indifferent   adj.无关紧要的
indirect   adj.间接的,迂回的
indispensable   n.不可缺少之物;adj.不可缺少的,绝对必要的
individual   n.个人,个体;adj.个别的,单独的,个人的
indoor   adj.户内的,室内的
induce   vt.劝诱,促使,导致,引起,感应
industrial   adj.工业的,产业的,实业的,从事工业的;n.工业工人,[商]工业股票
industrialize   vt.使工业化;vi.工业化
inevitable   adj.不可避免的,必然的
infant   n.婴儿,幼儿;adj.婴儿的,幼稚的
infect   vt.[医]传染,感染
infer   v.推断
inference   n.推论
inferior   adj.下等的,下级的,差的,次的,自卑的,劣等的
infinite   n.无限的东西(如空间、时间),[数]无穷大;adj.无穷的,无限的,无数的,极大的
inflation   n.胀大,夸张,通货膨胀,(物价)暴涨
influence   n.影响,感化,势力,有影响的人(或事),(电磁)感应;vt.影响,改变
influential   adj.有影响的,有势力的
inform   v.(～of/about)通知,告诉,获悉,告知
ingredient   n.成分,因素
inhabitant   n.居民,居住者
inherit   vt.继承,遗传而得
initial   adj.最初的,词首的,初始的;n.词首大写字母
initiative   n.主动
injection   n.注射,注射剂,(毛细血管等的)充血,(人造卫星,宇宙飞船等的)射入轨道
injure   vt.损害,伤害;v.伤害
injury   n.伤害,侮辱
inland   adj.内陆的,国内的;adv.在内地,向内地;n.内地
inn   n.(尤指乡村或公路边的)旅馆,客栈;vi.住旅馆
inner   adj.内部的,里面的,内心的;n.内部
innocent   adj.(～of)清白的,无罪的,天真的,无知的
input   n.输入;v.输入
inquire   v.询问,问明,查究
inquiry   n.质询,调查
insect   n.昆虫,卑鄙的人;adj..虫的,虫子一样的,对付虫子的
insert   vt.插入,嵌入;n.插入物
insight   n.洞察力,见识
insist   v.坚持,强调
inspect   vt.检查,视察;
inspire   vt.吸(气),鼓舞,感动,激发,启示,使生灵感,产生;vi.吸入,赋予灵感
install   vt.安装,安置,使就职
installation   n.[计]安装,装置,就职
instance   n.实例,建议,要求,情况,场合;vt.举...为例,获得例证
