mayor   n.市长
meaning   n.意义,含意,意图,[逻]内涵;adj.意味深长的
means   n.手段,方法;v.意味,想要
meantime   n.其间,其时;adv.其间
meanwhile   (=meantime)n.其间,其时;adv.其间
measure   n.尺寸,量度器,量度标准,方法,测量,措施;vt.测量,测度,估量,分派,权衡,调节;vi.量
measurement   n.测量法,度量,(量得的)尺寸,度量单位制
mechanic   n.技工,机修工,机械士
mechanical   adj.机械的,机械制的,机械似的,呆板的
mechanism   n.机械装置,机构,机制
medal   n.奖章,勋章,纪念章;v.授予...奖章
media   n.媒体
medium   n.媒体,方法,媒介;adj.中间的,中等的,半生熟的
melt   v.(使)融化,(使)熔化,使软化,使感动
membership   n.成员资格,成员人数
memorial   n.纪念物,纪念馆,纪念议事,请愿书;adj.记念的,记忆的
memorize   v.[亦作memorise]记住,记忆
mental   adj.精神的,智力的
mention   vt.提及,说起;n.提及,说起;v.论及,提及
menu   n.菜单
merchant   n.商人,批发商,贸易商,店主;adj.商业的,商人的
mercy   n.仁慈,宽恕,怜悯
mere   adj.仅仅的,起码的,纯粹的
merely   adv.仅仅,只,不过
merit   n.优点,价值;v.有益于
merry   adj.欢乐的,愉快的
mess   n.混乱,脏乱;v.弄乱
metric   adj.米制的,公制的
microphone   n.扩音器,麦克风
microscope   n.显微镜
mild   adj.温和的,温柔的,淡味的,轻微的,适度的,不含有害物质的的
military   adj.军事的,军用的
mill   n.压榨机,磨坊,磨粉机,工厂,制造厂;vt.碾磨,磨细,搅拌,使乱转,打;vi.乱转,被碾磨
millimetre   n.毫米
mineral   n.矿物,矿石
minimum   adj.最小的,最低的;n.最小值,最小化
minister   n.部长,大臣
ministry   n.(政府的)部门
minor   n.未成年人,副修科目;adj.较小的,次要的,二流的,未成年的;vi.辅修;n.[乐]小调,小音阶
minority   n.少数,少数民族
minus   adj.负的,减的;prep.减去;n.负数
miracle   n.奇迹,奇事
miserable   adj.痛苦的,悲惨的,可怜
mislead   vt.误导
missile   n.导弹,发射物
missing   adj.不见的,缺少的
mission   n.使命,任务,使团,代表团
mist   n.薄雾
misunderstand   vt.误解,误会
mixture   n.混合,混合物,混合剂
mobile   adj.可移动的,易变的,机动的;n.运动物体
moderate   adj.中等的,适度的,适中的;v.缓和
modest   adj.谦虚的,谦让的,适度的
modify   vt.更改,修改;v.修改
moist   adj.潮湿的;n.潮湿
moisture   n.潮湿,湿气
mold   n.模子,铸型;vt.浇铸,塑造
molecule   n.[化]分子,些微
monetary   adj.货币的,金钱的
monitor   n.班长,监听器,监视器,监控器;vt.监控;v.监控
monopoly   n.垄断,垄断者,专利权,专利事业
monument   n.纪念碑
mood   n.心情,情绪,语气,状态
moral   adj.道德(上)的,精神的;n.道德
morality   adj.道德的;n.道德
moreover   adv.而且,此外
mosquito   n.蚊子
motion   n.运动,动作;v.运动
motivate   v.激发
motive   n.动机,目的;adj.发动的,运动的
motor   n.发动机,电动机
mould   n.[亦作mold]肥土,壤土,[亦作mold]霉,模具;v.用土覆盖,发霉,铸造
mount   n.乘用马,衬纸,山,装配;vi.乘马,爬上,增长;vt.爬上,使上马,装上,设置,安放,制作...的标本,上演
mud   n.泥,泥浆,泥泞;abbr.Multi-UserDungeons,多用户网络游戏;abbr.Multi-UserDomuins,多用户领域
mug   n.杯子
multiple   adj.多样的,多重的;n.倍数,若干;v.成倍增加
multiply   v.繁殖,乘,增加
murder   n.谋杀,凶杀;vt.谋杀,凶杀;v.谋杀
muscle   n.肌肉,臂力,(可供食用的)瘦肉,[解]肌
muscular   adj.肌肉的,强健的
museum   n.博物馆
mushroom   n.蘑菇,<古>暴发户;vi.迅速生长,迅速增加,采蘑菇;adj.蘑菇形的,迅速生长的
musician   n.音乐家
mutual   adj.相互的,共有的
mysterious   adj.神秘的
mystery   n.神秘,神秘的事物
myth   n.神话,神话式的人物(或事物),虚构的故事,荒诞的说法
naked   adj.裸体的,无遮盖的,无装饰的,无保护的,[律]无证据的,未证实的
namely   adv.即,也就是
nationality   n.国籍,国家,部落,民族,民族性
naturally   adv.自然地
nature   n.自然,自然界,大自然,自然状态,本性,天性,种类
naval   adj.海军的
navigation   n.航海,航空,导航,领航,航行
navy   n.海军
nearby   adj.附近的,邻近的;adv.在附近
necessarily   adv.必要地
necessity   n.必要性,需要,必需品
negative   n.否定,负数,底片;adj.否定的,消极的,负的,阴性的;vt.否定,拒绝(接受)
neglect   vt.忽视,疏忽,漏做;n.忽视,疏忽,漏做
