ownership   n.所有权,物主身份
oxygen   n.[化]氧
pace   n.(一)步,速度,步调,步法,步态;vi.踱步,缓慢的走;vt.用步测,踱步于,(马)溜花蹄
pack   n.包裹,<贬>一群,一副,背包,包装;vt.包装,捆扎,塞满,压紧,挑选;vi.包装货物,挤,群集,被包装;背包
package   n.包裹,包;
packet   n.小包裹,小捆;v.包装;信息包
pad   n.垫,衬垫,便笺簿;v.加上衬垫
painful   adj.疼痛的,使痛苦的
painter   n.画家,油漆匠
palm   n.手掌,棕榈,(象征胜利的)棕榈叶;vt.与...握手,藏...于掌中,蒙混
panel   n.面板,嵌板,仪表板,座谈小组,全体陪审员;vt.嵌镶板
panic   n.惊慌,恐慌,没有理由的
pants   n.裤子,短裤
paperback   n.平装本,纸面本
parade   n.游行,炫耀,阅兵,检阅,阅兵场;v.游行,炫耀,夸耀,(使)列队行进
paragraph   n.(文章)段,节,段落
parallel   adj.平行的,相同的,类似的,并联的;n.平行线,平行面,类似,相似物;v.相应,平行
parcel   n.小包,包裹;vt.打包,捆扎
parliament   n.国会,议会
partial   adj.部分的,局部的,偏袒的,偏爱的;n.泛音
participate   vi.参与,参加,分享,分担
particle   n.粒子,点,极小量,微粒,质点,小品词,语气
particularly   adv.独特地,显著地
partner   n.合伙人,股东,舞伴,伴侣;vt.与...合伙,组成一对;vi.做伙伴,当助手
passion   n.激情,热情
passive   adj.被动的
passport   n.护照
paste   n.糊,面团,黏土团;vt.用浆糊粘,张贴;n.粘贴
pat   n.轻拍,(黄油)小块;v.轻拍;adv.适时,正好,恰好;adj.恰好的,合适的,人为的
patch   n.片,补缀,碎片,斑纹,斑点,小块地,眼罩,傻瓜;vt.修补,补缀,掩饰,平息
patience   n.耐性,忍耐
patient   n.病人,患者;adj.忍耐的,耐心的
pattern   n.模范,式样,模式,样品,格调,图案;vt.模仿,仿造,以图案装饰;vi.形成图案
paw   n.手掌,手爪;v.以蹄扒地,抓,笨拙地使用,费力地前进,(人)用手笨拙地摸;abbr.[军]Plasma-ArcWelding,等离子弧焊
payment   n.付款,支付,报酬,偿还,报应,惩罚
pea   n.豌豆
peak   n.山顶,顶点,帽舌,(记录的)最高峰;adj.最高的;vi.到达最高点,消瘦,缩小;vt.使竖起,使达到最高点
peculiar   adj.奇特的,罕见的,特殊的;n.特有财产,特权
pedestrian   n.步行者;adj.徒步的,呆板的,通俗的
peer   n.同等的人,贵族;vi.凝视,窥视;vt.与...同等,封为贵族
penalty   n.处罚,罚款
penetrate   vt.穿透,渗透,看穿,洞察;vi.刺入,看穿,渗透,弥漫
pension   n.养老金,退休金
pepper   n.胡椒粉
per   prep.每,每一,由,经
perceive   vt.察觉;v.感知,感到,认识到
percentage   n.百分数,百分率,百分比
perception   n.理解;感知,感觉;DPS公司出的数字影像压缩卡
perform   vt.履行,执行,表演,演出;v.完成任务
performance   n.履行,执行,成绩,性能,表演,演奏
permanent   adj.永久的,持久的
permissible   adj.可允许的
permission   n.许可,允许
persist   vi.坚持,持续
personality   n.个性,人格,人物,名人,(用复数)诽谤、人身攻击
personnel   n.人员,职员
perspective   n.透视画法,透视图,远景,前途,观点,看法,观点,观察
pessimistic   adj.悲观的,厌世的
pest   n.有害物
petrol   n.<英>汽油（=<美>gasoline）
petroleum   n.石油
phase   n.阶段,状态,相,相位;v.定相
phenomenon   n.现象
philosopher   n.哲学家,哲人
philosophy   n.哲学,哲学体系,达观,冷静
physical   adj.身体的,物质的,自然的,物理的;n.体格检查
physician   n.医师,内科医师
physicist   n.物理学者,唯物论者
physiological   adj.生理学的,生理学上的
pierce   vt.刺穿,刺破,穿透,突破,深深感动
pigeon   n.鸽子
pill   n.药丸,口服避孕药,弹丸
pillar   n.[建]柱子,栋梁,重要的支持者
pillow   n.枕头,枕垫
pilot   n.飞行员,领航员,引水员;vt.驾驶(飞机等),领航,引水;v.驾驶
pinch   n.捏,撮,收缩,紧急关头,匮乏,压力;vt.掐,夹痛,修剪,勒索,使感缺乏,使萎缩,偷;vi.收缩,节省
pine   n.松树,树木;v.消瘦,憔悴,渴望,渴慕
pint   n.品脱
pit   n.深坑,深渊,陷阱,(物体或人体表面)凹陷,(英国剧场的)正厅后排,正厅后排观众;vt.窖藏,使凹下,去...之核,使留疤痕,使竞争;vi.起凹点,凹陷
pitch   n.程度,斜度,树脂,投掷,定调,(船只)前后颠簸,倾斜,沥青;vt.投,掷,向前倾跌,定位于,用沥青涂,扎营;vi.搭帐篷,投掷,坠落,倾斜
plague   n.瘟疫,麻烦,苦恼,灾祸;vt.折磨,使苦恼,使得灾祸
planet   n.[天]行星
plantation   n.耕地,种植园,大农场,森林,人造林,殖民
plastic   n.塑胶,可塑体,塑料制品,整形;adj.塑胶的,塑造的,有可塑性的,造形的,(外科)整形的
platform   n.(车站)月台,讲台,讲坛;平台
pledge   n.保证,誓言,抵押,抵押品;vt.保证,使发誓,抵押,典当,举杯祝...健康
plentiful   adj.许多的,大量的,丰富的,丰饶的
plot   n.小块土地,地区图,图,秘密计划(特指阴谋),(小说的)情节.结构;vt.划分,绘图,密谋;vi.密谋,策划
