politician   n.政治家,政客
politics   n.政治,政治学,政纲,政见
poll   n.选举之投票,民意测验;v.投票,获得选票,选举中获得
pollute   vt.弄脏,污染
pollution   n.污染,玷污
pond   n.池塘;v.筑成池塘
portable   adj.轻便的,手提(式)的,便携式的
porter   n.守门人,门房,行李搬运工
portion   n.一部分,一分
portrait   n.肖像,人像
pose   n.姿势,姿态;v.(使...)摆好姿势,形成,引起,造成;vi.摆姿势,佯装,矫揉造作
positive   adj.肯定的,实际的,积极的,绝对的,确实的;adj.[数]正的;adj.[电]阳的;adj.[语法]原级的
possess   vt.占有,拥有,持有,摆布,支配
possession   n.拥有,占有,所有,着迷,领土,领地,财产(常用复数),自制
possibility   n.可能性,可能发生的事物
postage   n.邮资
postpone   vt.推迟,使延期,延迟
potential   adj.潜在的,可能的,势的,位的;n.潜能,潜力,电压
pour   v.灌注,倾泻,涌入,流,倾盆大雨
poverty   n.贫穷,贫困,贫乏,缺少
powder   n.粉,粉末,火药,尘土;vt.搽粉于,撒粉,使成粉末;vi.搽粉,变成粉末
powerful   adj.强大的,有力的
practically   adv.实际上,事实上,在实践上;adv.几乎,简直
pray   v.祈祷,恳求,请
prayer   n.祈祷
preach   v.鼓吹
precaution   n.预防,警惕,防范
preceding   adj.在前的,前述的
precious   adj.宝贵的,贵重的,珍爱的,过于精致的,珍爱的
precise   adj.精确的,准确的;n.精确
precision   n.精确,精密度,精度
predict   v.预知,预言,预报
preface   n.序文,绪言,前言;vi.作序,写前言;vt.为...写序言,开始
preferable   adj.更可取的,更好的,更优越的
preference   n.偏爱,优先选择
pregnant   adj.怀孕的,重要的,富有意义的,孕育的
prejudice   n.偏见,成见,损害,侵害;v.损害
preliminary   adj.预备的,初步的
premature   adj.未成熟的,太早的,早熟的
preparation   n.准备,预备
preposition   n.前置词
prescribe   v.指示,规定,处(方),开(药)
prescription   n.指示,规定,命令,处方,药方
presence   n.出席,到场,存在
presentation   n.介绍,陈述,赠送,表达
presently   adv.目前,不久
preserve   vt.保护,保持,保存,保藏;vi.做蜜饯,禁猎;n.蜜饯,果酱,禁猎地,禁区,防护物
pressure   n.压,压力,电压,压迫,强制,紧迫
prestige   n.声望,威望,威信
presumably   adv.推测起来,大概
pretend   vt.假装,装扮,(作为藉口或理由)伪称
prevail   vi.流行,盛行,获胜,成功
prevalent   adj.普遍的,流行的
previous   adj.在前的,早先的;adv.在...以前;返回上一级菜单
priest   n.牧师
primarily   adv.首先,起初,主要地,根本上
primary   adj.第一位的,主要的,初步的,初级的,原来的,根源的
prime   n.最初,青春,精华;adj.主要的,最初的,有青春活力的,最好的,第一流的,根本的,[数]素数的;v.预先准备好,<口>让人吃(喝)足,灌注,填装
primitive   adj.原始的,远古的,粗糙的,简单的
principal   n.负责人,首长,校长,主犯,本金;adj.主要的,首要的
principle   n.法则,原则,原理
prior   adj.优先的,在前的;n.预先;adv.在
priority   n.先,前,优先,优先权
private   adj.私人的,私有的,私营的,秘密的;n.士兵
privilege   n.特权,特别待遇,基本公民权力,特免;vt.给与...特权,特免
probable   adj.很可能的,大概的
procedure   n.程序,手续
proceed   vi.进行,继续下去,发生
process   n.过程,作用,方法,程序,步骤,进行,推移;vt.加工,处理
procession   n.行列,队伍
product   n.产品,产物,乘积
productive   adj.生产性的,生产的,能产的,多产的
productivity   n.生产力
profess   v.表示
profession   n.职业,专业,表白,宣布
professional   n.自由职业者,专业人员,职业运动员,职业艺人;adj.专业的,职业的
profile   n.剖面,侧面,外形,轮廓
profit   n.利润,益处,得益;vi.得益,利用;vt.有益于,有利于
profitable   adj.有利可图的
profound   adj.深刻的,意义深远的,渊博的,造诣深的
progressive   n.改革论者,进步论者;adj.前进的,(税收)累进的,进步的
prohibit   vt.禁止,阻止
project   n.计划,方案,事业,企业,工程;v.设计,计划,投射,放映,射出,发射(导弹等),凸出
prominent   adj.卓越的,显著的,突出的
promote   vt.促进,发扬,提升,提拔,晋升为
prompt   n.提示,付款期限;vt.提示,鼓动,促使,(给演员)提白;adj.敏捷的,迅速的,即时的;adv.准时地;n.DOS命令:改变DOS系统提示符的风格
pronoun   n.代名词
proof   n.证据,试验,考验,[印刷]校样;adj.不能透入的,证明用的,防...的,有耐力的
property   n.财产,所有物,所有权,性质,特性,(小)道具
proportion   n.比例,均衡,面积,部分;vt.使成比例,使均衡,分摊
proportional   adj.比例的,成比例的,相称的,均衡的
proposal   n.提议,建议
propose   vt.计划,建议,向...提议,求(婚);vi.打算,求婚
prospect   n.景色,前景,前途,期望;vi.寻找,勘探
prospective   adj.预期的
prosperity   n.繁荣
prosperous   adj.繁荣的
protection   n.保护
protective   adj.给予保护的,保护的
protein   n.[生化]蛋白质;adj.蛋白质的
