regulation   n.规则,规章,调节,校准
reinforce   vt.加强,增援,补充,增加...的数量,修补,加固;vi.求援,得到增援;n.加固物
reject   n.被拒之人,被弃之物,不合格品,落选者,不及格者;vt.拒绝,抵制,否决,呕出,驳回,丢弃
relate   vt.叙述,讲,使联系,发生关系
relationship   n.关系,关联
relative   n.亲戚,关系词,相关物,亲缘植物;adj.有关系的,相对的,比较而言的
relativity   n.相对性,相关性,[物]相对论
relax   vi.放松,休息,休养,变从容;vt.使松驰,缓和,使松懈,使休息
relay   n.驿马,接替,[电工]继电器;vt.(消息,货物等)分程传递,使接替,转播;vi.得到接替,转播
release   n.释放,让渡,豁免,发行的书,释放证书;vt.释放,解放,放弃,让与,免除,发表;n.版本,发布
relevant   adj.有关的,相应的
reliable   adj.可靠的,可信赖的
relief   n.(痛苦等的)减轻,(债务等的)免除,救济,调剂,安慰,浮雕,地貌
relieve   vt.减轻,解除,援救,救济,换班
religion   n.宗教,信仰
religious   adj.信奉宗教的,虔诚的,宗教上的,修道的,严谨的;n.僧侣,尼姑,修道士
reluctant   adj.不顾的,勉强的,难得到的,难处理的
rely   v.依赖,依靠,信赖,信任,依赖于
remain   vi.保持,逗留,剩余,残存
remark   n.备注,评论,注意,注释;vt.评论,注意,谈及;vi.谈论
remarkable   adj.不平常的,非凡的,值得注意的,显著的
remedy   n.药物,治疗法,补救,赔偿;vt.治疗,补救,矫正,修缮,修补
remind   vt.提醒,使想起
remote   adj.遥远的,偏僻的,细微的
removal   n.移动,免职,切除
render   vt.呈递,归还,着色,汇报,致使,放弃,表演,实施;vi.给予补偿;n.交纳,粉刷,打底
renew   vt.使更新,使恢复,重申,补充,续借,复兴;vi.更新,重新开始
rent   v.租,租借,出租;n.租金
repeatedly   adv.重复地,再三地
repertoire   n.(准备好演出的)节目,保留剧目,(计算机的)指令表,指令系统,<美>(某个人的)全部技能
repetition   n.重复,循环,复制品,副本
replace   vt.取代,替换,代替,把...放回原处
replacement   n.归还,复位,交换,代替者,补充兵员,置换,移位
reporter   n.记者,通讯员
represent   vt.表现,描绘,声称,象征,扮演,回忆,再赠送,再上演;vi.提出异议
representative   n.代表;adj.典型的,有代表性的
reproduce   v.繁殖,再生,复制,使...在脑海中重现
republican   adj.共和国的,共和政体的,共和主义的,有关共和的;n.共和党人
reputation   n.名誉,名声
require   vt.需要,要求,命令
requirement   n.需求,要求,必要条件,需要的东西,要求必备的条件
rescue   vt.援救,营救;n.援救,营救
resemble   vt.象,类似
reservation   n.保留,(旅馆房间等)预定,预约
reserve   n.储备(物),储藏量,预备队;vt.储备,保存,保留,预定,预约
reservior   n.贮水池,贮藏处,贮备
residence   n.居住,住处
resident   n.居民;adj.居住的,常驻的
residential   adj.住宅的,与居住有关的
resign   n.辞去(职务);v.辞去,辞职
resist   vt.抵抗,反抗,抗,忍得住
resistance   n.反抗,抵抗,抵抗力,阻力,电阻,阻抗
resistant   adj.抵抗的,有抵抗力的
resolution   n.坚定,决心,决定,决议
resolve   n.决心;v.决心,决定,决心要,(使)分解,溶解,解决;vt.解决
resort   vi.求助,诉诸,采取(某种手段等),常去;n.凭借,手段,常去之地,胜地
resource   n.资源,财力,办法,智谋
respect   n.尊敬,敬重,注意,考虑,尊重,关系,有关,敬意;vt.尊敬,尊重,不防碍
respective   adj.分别的,各自的
respectively   adv.分别地,各个地
respond   v.回答,响应,作出反应;vi.有反应
response   n.回答,响应,反应
responsibility   n.责任,职责
responsible   adj.有责任的,可靠的,可依赖的,负责的
restless   adj.得不到休息的,不平静的,不安宁的
restore   vt.恢复,使回复,归还,交还,修复,重建
restrain   vt.抑制,制止
restraint   n.抑制,制止,克制
restrict   vt.限制,约束,限定
result   n.结果,成效,计算结果;vi.起因,由于,以...为结果,导致
resume   n.摘要,概略,<美>履历;vt.再继续,重新开始,重新占用,再用,恢复
retain   vt.保持,保留
retire   vi.退休,引退,退却,撤退,就寝
retreat   vi.撤退,退却;n.撤退,退却
reunion   n.团圆,重聚
reveal   vt.展现,显示,揭示,暴露
revelation   n.显示,揭露,被揭露的事,新发现,启示,揭示
revenge   n.报仇,复仇;vt.替...报仇,复仇
revenue   n.收入,国家的收入,税收
reverse   n.相反,背面,反面,倒退;adj.相反的,倒转的,颠倒的;vt.颠倒,倒转
revise   vt.修订,校订,修正,修改
revolt   v.反抗,起义,反叛,反感,厌恶
revolutionary   adj.革命的
revolve   v.(使)旋转,考虑,循环出现
reward   n.报酬,奖金;vt.酬劳,奖赏
rhythm   n.节奏,韵律
rib   n.肋骨
ribbon   n.缎带,丝带,带,带状物,带子
rid   vt.使摆脱,使去掉
ridge   n.背脊,山脊,屋脊,山脉,犁垄;v.起皱,成脊状延伸,翻土作垄
ridiculous   adj.荒谬的,可笑的
rifle   n.来复枪,步枪,来复线,膛线;vt.用步枪射击,抢夺;vi.掠夺
rigid   adj.刚硬的,刚性的,严格的
riot   n.暴乱,骚动,(植物,疾病等)蔓延,放荡,暴动;v.骚乱,放纵,挥霍,参加骚动
ripe   adj.熟的,成熟的,时机成熟的;v.成熟
risk   vt.冒...的危险;n.冒险,风险
rival   n.竞争者,对手;v.竞争,对抗,相匹敌
roar   n.吼叫,怒号;vi.吼叫,怒号;v.滚动,咆哮
roast   v.烤,烘,烘烤,暴露于某种热力下以得温暖
rob   v.抢夺,抢掠,剥夺
