shrink   v.收缩,(使)皱缩,缩短
shrug   n.耸肩;v.耸肩
sideways   adv.向一旁,向侧面地,斜地里;adj.一旁的,向侧面的
sigh   n.叹息,叹息声;vi.叹息,叹气
sightseeing   n.观光
signal   n.信号;adj.信号的;v.发信号,用信号通知
signature   n.签名,署名,信号
significance   n.意义,重要性
significant   adj.有意义的,重大的,重要的
silicon   n.[化]硅,硅元素
similar   adj.相似的,类似的
similarly   adv.同样地,类似于
simplicity   n.简单,简易,朴素,直率
simplify   vt.单一化,简单化
sin   n.[俗]违背习俗,不合情理之事,过失,罪过,[数学]正弦函数
sincere   adj.诚挚的,真实的,真诚的
single   adj.单一的,单身的,单纯的,孤独的,专一的,个别的;n.一个,单打,单精度型;vt.选出;vi.[棒]作一垒打
singular   n.单数;adj.单一的,非凡的,异常的,持异议的
site   n.地点,场所,遗址;vt.定...的地点;n.站点
sketch   n.略图,草图,概略,梗概,草图,拟定;vi.绘略图,素描;v.勾画
skilled   adj.熟练的
skillful   adj.灵巧的,熟练的,制作精巧的
skim   v.撇去
slam   v.砰地关上,砰地放下,猛力抨击,冲击;n.砰,猛击,撞击,冲击
slap   vt.拍,掌击,拍击;n.拍,掌击,拍击
sleeve   n.袖子
slender   adj.苗条的,微薄的,微弱的
slice   n.薄片,切片,一份,部分,片段;v.切(片)
slide   v.(使)滑动,(使)滑行;n.滑,滑动,幻灯片
slight   adj.轻微的,微小的
slim   adj.苗条的,纤细的,不足取的,无价值的,细长的;v.变细,减肥
slip   n.滑倒,事故,片,纸片;vi.滑动,滑倒,失足,减退;vt.使滑动,滑过,摆脱,闪开,塞入;adj.滑动的,活络的,有活结的;abbr.SerialLineInterfaceProtocol,串行接口协议
slippery   adj.滑的,光滑的
slogan   n.口号,标语
slope   n.斜坡,斜面,倾斜;v.(使)顺斜
smash   v.打碎,粉碎;n.打碎,粉碎;adj.出色的
smuggle   n.走私,偷带;v.走私
snack   n.小吃,快餐,一份;v.吃快餐(小吃)
snap   v.猛地吸住,突然折断,使劈啪地晌,猛咬;n.猛咬,突然折断,劈啪声;adj.突然的
so-called   v.高飞,高丛,滑翔,剧增,昂扬;n.高飞范围,高涨程度
soak   adj.所谓的,号称的
soar   v.浸,泡,浸透;n.浸透
social   adj.社会的,爱交际的,社交的,群居的
socialism   n.社会主义,社会主义运动
socialist   n.社会主义者,社会党党员
soda   n.苏打,碳酸水
software   n.软件
solar   adj.太阳的,日光的
sole   adj.单独的,唯一的;n.脚底,鞋底,基础;v.换鞋底
solemn   adj.庄严的,隆重的,严肃的
solitary   adj.孤独的
solution   n.解答,解决办法,溶解,溶液,解决方案
solve   vt.解决,解答
somehow   adv.不知何故
somewhat   adv.稍微,有点,有些
sophisticated   adj.诡辩的,久经世故的
sore   adj.疼痛的,痛心的,剧烈的;n.痛的地方,痛处
sorrow   n.悲哀,悲痛
sour   adj.酸的,发酵的,酸腐的,酸味的
source   n.来源,水源,消息来源,原始资料,发起者,源,源极
sow   n.大母猪;vt.播种,散布,使密布;vi.播种
spacecraft   n.太空船
spade   n.铲,铁锹;v.铲
span   n.跨度,跨距,范围;v.横越
spark   n.火花,火星,闪光,情郎,花花公子,活力,电信技师,瞬间放电;vi.闪烁,发火花,求婚;vt.发动,鼓舞,使有朝气,求婚
specialist   n.专门医师,专家
specialize   vi.专攻,专门研究,使适应特殊目的,使专用于
species   n.种类,(原)核素;n.[律]式样;n.[宗]圣餐物
specific   n.特效药,细节;adj.详细而精确的,明确的,特殊的,特效的,[生物]种的
specifically   adv.特定的,明确的
specify   vt.指定,详细说明,列入清单
specimen   n.范例,标本,样品,样本,待试验物
spectacular   adj.引人入胜的,壮观的
speculate   vi.推测,思索,做投机买卖
spelling   n.拼法,拼写法
sphere   n.球,球体,范围,领域,方面,圈子,半球
spider   n.蜘蛛,设圈套者,三脚架
spill   n.溢出,溅出,摔下,木片,小塞子,暴跌,溢出量;vt.使溢出,使散落,洒,使流出,使摔下,倒出;vi.溢出,涌流,充满
spin   v.旋转,纺,纺纱;n.旋转
spiritual   adj.精神上的
spit   n.唾液;v.吐(唾沫),吐出,发射,发出,喷吐
spite   n.(in～of)不顾,不管,敌意;v.困扰
splendid   adj.壮丽的,辉煌的,极好的
split   v.劈开,(使)裂开,分裂,分离;n.裂开,裂口,裂痕
spoil   vt.损坏,搞糟,宠坏,溺爱;v.扰乱
spokesman   n.发言人,代表者
sponsor   n.发起人,主办者,保证人,主办人;vt.发起,主办;v.赞助
spot   n.班点,污点,地点,场所,现场;v.沾污,弄脏,侦察;vt.认出,发现
spray   n.喷雾,飞沫;vt.喷射,喷溅
spur   n.踢马剌,剌激物,(鸟,虫等的)距,刺激;v.鞭策,刺激,疾驰,驱策
squeeze   n.压榨,挤;v.压榨,挤,挤榨
stability   n.稳定性
stable   adj.稳定的
stack   n.堆,一堆,堆栈;v.堆叠
stadium   n.露天大型运动场
staff   n.棒,杖,杆,支柱,全体职员,[军]参谋机构,[音]五线谱;vt.供给人员,充当职员
stain   n.污点,瑕疵;v.染污,沾污
stake   n.树桩
stale   n.(牲畜等的)尿;adj.不新鲜的,陈腐的,疲倦的,陈旧的;vt.使变旧,走味;vi.变陈旧,变无味,失时效,撒尿
standpoint   n.立场,观点
