sympathize   vi.同情,共鸣,同感,同意,吊唁
sympathy   n.同情,同情心
symptom   n.[医][植]症状,征兆
synthetic   adj.合成的,人造的,综合的
system   n.系统,体系,制度,体制,秩序,规律,方法
systematic(al)   adj.组织性的,系统的
tackle   n.工具,复滑车,滑车,辘轱,用具,装备,扭倒;vt.固定,应付(难事等),处理,解决,抓住;vi.捉住,扭住,扭倒
tag   n.标签,鞋带、绳子等末端的金属物,垂下物,附属物,名称,标记符,陈词滥调,结束语;vt.加标签于,紧随,添饰,起浑名,连接;vi.紧随
talent   n.天才,才干,才能
tame   adj.(指动物)驯服的,柔顺的,(指人)没精打彩的,顺从的,被开垦的,沉闷的,乏味的,平淡的;vt.驯养,驯服,制服,使变得平淡;vi.变得驯服
target   n.目标,对象,靶子
tax   n.税,税款,税金;vt.对...征税,使负重担,指控,责备
technician   n.技术员,技师
technique   n.技术,技巧,方法,表演法,手法
technology   n.工艺,科技,技术
tedious   adj.单调乏味的,沉闷的,冗长乏味的
teenager   n.十几岁的青少年
telecommuications   n.电讯,长途通讯,无线电通讯,电信学
telescope   n.望远镜;v.压缩
temper   n.(钢等)韧度,回火,性情,脾气,情绪,心情,调剂,趋向;v.(冶金)回火、锻炼,调和,调节
temple   n.庙,寺,神殿,教堂,礼拜堂,太阳穴,鬓角
temporary   adj.暂时的,临时的,临时性
temptation   n.诱惑,诱惑物
tend   vi.趋向,往往是;vt.照管,护理
tendency   n.趋向,倾向
tender   adj.嫩的,温柔的,软弱的
tense   adj.紧张的,拉紧的;v.(使)紧张,(使)拉紧;n.[语法]时态
tension   n.紧张(状态),不安,拉紧,压力,张力,牵力,电压;vt.拉紧,使紧张
terminal   n.终点站,终端,接线端;adj.末期,每期的,每学期的
territory   n.领土,版图,地域
terror   n.恐怖,可怕的人,恐怖时期,恐怖行动
textile   n.纺织品;adj.纺织的
theme   n.(谈话,写作等的)题目,主题,学生的作文,作文题,[音乐]主题,主题曲,主旋律
theoretical   理论的
theory   n.理论,学说,...论,原理,意见,推测
therapy   n.治疗
thereafter   adv.其后,从那时以后
thereby   adv.因此,从而,在那方面,在那附近
therefore   adv.因此,所以
thermometer   n.温度计,体温计
thick   adj.厚的,粗的,稠的,浓的;n.最拥挤部份,活动最多部份,事物的粗大浓密部份
thinking   n.思想
thirsty   adj.口渴的,渴望的,热望的
thorough   adj.十分的,彻底的
thoughtful   adj.深思的,有思想性的,体贴的,关切的
threat   n.恐吓,凶兆,威胁
threaten   vt.恐吓,威胁,预示(危险),似有发生或来临的可能,可能来临
thrive   v.兴旺,繁荣,茁壮成长,旺盛
throat   n.咽喉,喉咙,嗓音,窄路,口子;vt.用喉音说,开沟于
thrust   n.插,戳,刺,推力,猛推,口头攻击;vt.力推,冲,插入,挤进,刺,戳,强加,延伸;vi.插入,刺,戳,延伸,强行推进
thumb   n.拇指;vt.以拇指拨弄,笨拙处理,弄坏,翻阅,作搭车手势;vi.用拇指翻书页
thunder   n.雷,雷声,轰隆声;vi.打雷,雷鸣
tide   n.潮,潮汐,潮流,趋势
tidy   n.椅子的背罩,装杂碎的容器;adj.整齐的,整洁的,精简的;vt.弄整齐,收拾,整理;vi.整理,收拾;adj.<口>可观的,相当大的
tile   n.瓦片,瓷砖
timber   n.木材,木料
timely   adj.及时的,适时的
tissue   n.薄的纱织品,薄纸,棉纸,[生]组织,连篇
title   n.头衔,名称,标题,冠军,资格,字幕,权利,扉页;vt.赋予头衔,加标题于;adj.标题的,用作书名的
toast   n.烤面包(片),吐司面包,干杯;vt.敬酒,烤(面包等),使暖和;vi.烤暖,烤火,烘
token   n.表示,向征,记号,代币;adj.象征的,表意的
tolerance   n.公差,宽容,忍受,容忍,(食物中残存杀虫剂的)(法定)容许量;vt.给(机器部件等)规定公差
tolerant   adj.容忍的,宽恕的,有耐药力的
tolerate   vt.忍受,容忍
toll   n.通行税(费),费,代价,钟声;vt.征收,敲钟,鸣(钟)(特指宣布死亡),勾引,引诱;vi.征税,鸣钟
tone   n.音调,音质,语调,色调,状况,品质,语气,气氛;vt.调和,增强,以特殊腔调说,配合,定音调;vi.颜色调和
topic   n.话题,主题
torch   n.火把,启发之物;vi.像火炬一样燃烧;vt.用火炬点燃
torture   n.折磨,痛苦,拷问,拷打;vt.拷问,曲解,折磨,使弯曲
tough   n.恶棍;adj.强硬的,艰苦的,坚强的,坚韧的,强壮的,吃苦耐劳的,凶恶的,粗暴的;adv.<口>强硬地,顽强地;vt.<美口>忍受,耐,坚持
tour   n.旅行,游历,旅游;v.旅行,游历,巡回,漫游
towel   n.手巾,毛巾;v.用毛巾擦
trace   n.痕迹,踪迹,微量,迹线,缰绳;vt.描绘,映描,画轮廓,追踪,回溯,探索;vi.上溯,沿路走
tract   n.广阔的地面,土地,地方,地域,(解剖)管道,小册子
tractor   n.拖拉机
tradition   n.传统,惯例
tragedy   n.悲剧,惨案,悲惨,灾难
trail   n.踪迹,痕迹,形迹;vt.跟踪,追踪,拉,拖,拖拉,(指植物)蔓生,蔓延,(指人)没精打采地走
transfer   n.迁移,移动,传递,转移,调任,转帐,过户,转让;vt.转移,调转,调任,传递,转让,改变;vi.转移,转学,换车
transform   vt.转换,改变,改造,使...变形;vi.改变,转化,变换;n.[数]变换(式),[语]转换
transient   adj.短暂的,瞬时的;n.瞬时现象
transition   n.转变,转换,跃迁,过渡,变调
translation   n.翻译,译文,转化,调任,转换[物][数]平移
transmission   n.播送,发射,传动,传送,传输,转播
transmit   vt.传输,转送,传达,传导,发射,遗传,传播;vi.发射信号,发报
transparent   adj.透明的,显然的,明晰的
transport   n.传送器,运输,运输机,激动,流放犯,狂喜;vt.传送,运输,流放,放逐
transportation   n.运输,运送
trap   n.圈套,陷阱,诡计,活板门,存水弯,汽水闸,(双轮)轻便马车;vi.设圈套,设陷阱;vt.诱捕,诱骗,计捉,设陷,坑害,使受限制
trash   n.无价值之物,无聊的作品,垃圾,废物
tray   n.盘,碟,盘子
treatment   n.待遇,对待,处理,治疗
treaty   n.条约,谈判
tremble   n.战栗,颤抖;vi.战栗,发抖,震动,(树叶等)摇晃.摇动,焦虑;vt.挥动,用颤抖的声音说出
tremendous   adj.极大的,巨大的
trend   n.倾向,趋势;vi.伸向,倾向,通向
trial   n.试验,考验,审讯,审判
triangle   n.[数]三角形,三人一组,三角关系
trim   adj.整齐的,整洁的;vt.整理,修整,装饰
triumph   n.胜利,成功;v.获得胜利
